快速碼,商品代號,商品名稱,款式號碼,商品條碼,國際條碼,主供應商名稱,大分類代號,大分類名稱,年度,季節,成本幣別代號,未稅標準成本,含稅標準成本,銷貨幣別代號,未稅標準定價,含稅標準定價
2725,ML027WT25,M-L027｜白色 25｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
27225,ML027BK225,M-L027｜黑色 22.5｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
27235,ML027BK235,M-L027｜黑色 23.5｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
2723,ML027BK23,M-L027｜黑色 23｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
27245,ML027BK245,M-L027｜黑色 24.5｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
2724,ML027BK24,M-L027｜黑色 24｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
2725,ML027BK25,M-L027｜黑色 25｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
27225,ML027GN225,M-L027｜綠色 22.5｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
27235,ML027GN235,M-L027｜綠色 23.5｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
2723,ML027GN23,M-L027｜綠色 23｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
27245,ML027GN245,M-L027｜綠色 24.5｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
2724,ML027GN24,M-L027｜綠色 24｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
2725,ML027GN25,M-L027｜綠色 25｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
32225,ML032WT225,M-L032｜白色 22.5｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
32235,ML032WT235,M-L032｜白色 23.5｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
3223,ML032WT23,M-L032｜白色 23｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
32245,ML032WT245,M-L032｜白色 24.5｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
3224,ML032WT24,M-L032｜白色 24｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
3225,ML032WT25,M-L032｜白色 25｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
32225,ML032MWT225,M-L032｜米白 22.5｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
32235,ML032MWT235,M-L032｜米白 23.5｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
3223,ML032MWT23,M-L032｜米白 23｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
32245,ML032MWT245,M-L032｜米白 24.5｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
3224,ML032MWT24,M-L032｜米白 24｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
3225,ML032MWT25,M-L032｜米白 25｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
32225,ML032BK225,M-L032｜黑色 22.5｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
32235,ML032BK235,M-L032｜黑色 23.5｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
3223,ML032BK23,M-L032｜黑色 23｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
32245,ML032BK245,M-L032｜黑色 24.5｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
3224,ML032BK24,M-L032｜黑色 24｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
3225,ML032BK25,M-L032｜黑色 25｜ 日本GRL綁帶方頭皮面涼鞋E.,ML032,,,日本,Z,選品,,,NTD,500,525,NTD,933,980
25,PS025YLLLL,PS025｜黃色 3L｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116761,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025YLL,PS025｜黃色 L｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116752,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025YLLL,PS025｜黃色 LL｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116758,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025YLM,PS025｜黃色 M｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116755,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025BKLLL,PS025｜黑色 3L｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116760,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025BKL,PS025｜黑色 L｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116751,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025BKLL,PS025｜黑色 LL｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116757,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025BKM,PS025｜黑色 M｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116754,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025GNLLL,PS025｜綠色 3L｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116762,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025GNL,PS025｜綠色 L｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116753,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025GNLL,PS025｜綠色 LL｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116759,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
25,PS025GNM,PS025｜綠色 M｜日本設計！姿勢調整美姿舒脊室內鞋,PS025,116756,,日本,Z,選品,,,NTD,723.81,760,NTD,"1,505","1,580"
351,PUUI351FF,PU-UI351｜F (一雙入)｜隱形鞋墊GelS-Mart吉斯邁Q彈減壓鞋全墊,PU-UI351,59570,,吉斯邁,A,鞋材襪款,,,NTD,200,210,NTD,371,390
1008225,R1008CC225,R1008｜可可 22.5｜日本GRL優雅尖頭穆勒跟鞋,R1008,116982,,日本,Z,選品,,,NTD,874.29,918,NTD,"1,410","1,480"
